date,value,rolling_12m
1991-07-01,3.526591,
1991-08-01,3.180891,
1991-09-01,3.252221,
1991-10-01,3.611003,
1991-11-01,3.565869,
1991-12-01,4.306371,
1992-01-01,5.088335,
1992-02-01,2.81452,
1992-03-01,2.985811,
1992-04-01,3.20478,
1992-05-01,3.127578,
1992-06-01,3.270523,3.4945410833333335
1992-07-01,3.73785082,3.5121460683333336
1992-08-01,3.55877609,3.5436364925000006
1992-09-01,3.77720173,3.587384886666667
1992-10-01,3.92449042,3.6135088383333334
1992-11-01,4.38653092,3.6818973316666668
1992-12-01,5.81054917,3.8072455124999998
1993-01-01,6.19206769,3.8992232366666664
1993-02-01,3.45085699,3.952251319166667
1993-03-01,3.77230686,4.017792640833333
1993-04-01,3.7343029,4.061919549166666
1993-05-01,3.90539892,4.126737959166667
1993-06-01,4.04968714,4.191668304166666
1993-07-01,4.31556552,4.239811195833333
1993-08-01,4.56218455,4.3234285675
1993-09-01,4.60866203,4.392716925833334
1993-10-01,4.66785129,4.454663664999999
1993-11-01,5.09384145,4.513606209166666
1993-12-01,7.1799622,4.627723961666667
1994-01-01,6.73147308,4.672674410833333
1994-02-01,3.84127758,4.70520946
1994-03-01,4.39407557,4.757023519166666
1994-04-01,4.07534073,4.785443338333333
1994-05-01,4.5406449,4.838380503333333
1994-06-01,4.64561508,4.888041165
1994-07-01,4.75260653,4.924461249166667
1994-08-01,5.35060467,4.990162925833333
1994-09-01,5.20445484,5.0398123266666675
1994-10-01,5.3016513,5.092628994166667
1994-11-01,5.77374216,5.149287386666667
1994-12-01,6.20459348,5.06800666
1995-01-01,6.74948382,5.069507555
1995-02-01,4.21606735,5.100740035833334
1995-03-01,4.94934946,5.14701286
1995-04-01,4.8230449,5.209321540833334
1995-05-01,5.19475419,5.263830648333333
1995-06-01,5.17078711,5.307594984166666
1995-07-01,5.25674157,5.349606237500001
1995-08-01,5.85527729,5.391662289166667
1995-09-01,5.49072901,5.415518469999999
1995-10-01,6.11529323,5.483321964166667
1995-11-01,6.08847284,5.509549520833333
1995-12-01,7.41659792,5.610549890833333
1996-01-01,8.32945212,5.742213915833333
1996-02-01,5.06979585,5.8133579575
1996-03-01,5.26255667,5.839458558333334
1996-04-01,5.59712628,5.903965339999999
1996-05-01,6.110296,5.980260490833333
1996-06-01,5.68916084,6.023458301666667
1996-07-01,6.48684933,6.125967281666667
1996-08-01,6.30056933,6.163074951666666
1996-09-01,6.46747574,6.2444705125
1996-10-01,6.82862939,6.3039151925
1996-11-01,6.64907826,6.350632310833333
1996-12-01,8.60693721,6.449827251666666
1997-01-01,8.52447101,6.466078825833333
1997-02-01,5.27791837,6.483422369166667
1997-03-01,5.71430345,6.521067934166666
1997-04-01,6.21452908,6.5725181675
1997-05-01,6.41192919,6.597654266666666
1997-06-01,6.66771564,6.6792005
1997-07-01,7.05083102,6.726198974166667
1997-08-01,6.70491861,6.7598947475
1997-09-01,7.25098761,6.8251874033333335
1997-10-01,7.81973318,6.907779385833333
1997-11-01,7.39810106,6.9701979525
1997-12-01,10.09623339,7.094305967500001
1998-01-01,8.79851303,7.117142802500001
1998-02-01,5.91826076,7.170504668333333
1998-03-01,6.53449298,7.238853795833333
1998-04-01,6.67573561,7.277287673333333
1998-05-01,7.06420058,7.331643622500001
1998-06-01,7.38338118,7.3912824175
1998-07-01,7.81349587,7.4548378216666675
1998-08-01,7.43189221,7.515418955
1998-09-01,8.27511722,7.600763089166667
1998-10-01,8.26044138,7.6374887725
1998-11-01,8.59615575,7.7373266633333335
1998-12-01,10.55893902,7.775885465833333
1999-01-01,10.3914156,7.908627346666666
1999-02-01,6.42153456,7.95056683
1999-03-01,8.06261937,8.077910695833333
1999-04-01,7.2977391,8.12974432
1999-05-01,7.93691594,8.2024706
1999-06-01,8.16532298,8.267632416666666
1999-07-01,8.71742046,8.342959465833333
1999-08-01,9.07096378,8.479548763333332
1999-09-01,9.17711337,8.554715109166667
1999-10-01,9.25188674,8.637335555833333
1999-11-01,9.93313643,8.7487506125
1999-12-01,11.53297428,8.8299202175
2000-01-01,12.51146235,9.00659078
2000-02-01,7.45719853,9.092896110833333
2000-03-01,8.59119084,9.136943733333332
2000-04-01,8.47400037,9.234965505833333
2000-05-01,9.3868026,9.355789394166667
2000-06-01,9.56039945,9.472045766666668
2000-07-01,10.8342948,9.648451961666668
2000-08-01,10.64375083,9.779517549166668
2000-09-01,9.90816186,9.840438256666667
2000-10-01,11.7100413,10.04528447
2000-11-01,11.34015074,10.1625356625
2000-12-01,12.07913184,10.2080487925
2001-01-01,14.49758109,10.373558687500001
2001-02-01,8.04927477,10.422898374166667
2001-03-01,10.31289116,10.566373400833333
2001-04-01,9.75335821,10.672986554166668
2001-05-01,10.85038183,10.79495149
2001-06-01,9.96171916,10.828394799166666
2001-07-01,11.44360144,10.8791703525
2001-08-01,11.65923889,10.9637943575
2001-09-01,10.64705979,11.025369185
2001-10-01,12.65213444,11.103876946666666
2001-11-01,13.67446631,11.298403244166666
2001-12-01,12.96573509,11.372286848333333
2002-01-01,16.30026927,11.522510863333332
2002-02-01,9.05348536,11.606195079166667
2002-03-01,10.00244879,11.580324881666664
2002-04-01,10.78875007,11.666607536666667
2002-05-01,12.10670515,11.771301146666666
2002-06-01,10.95410107,11.853999639166666
2002-07-01,12.84456587,11.970746675
2002-08-01,12.19649985,12.015518421666668
2002-09-01,12.85474787,12.199492428333334
2002-10-01,13.54200436,12.273648255
2002-11-01,13.28764,12.241412729166667
2002-12-01,15.13491784,12.422177958333334
